ID,NumPeopleSleptInHouse,WasIrsConducted,MonthsSinceIrs,NumLlinsAvailable,LlinType,LlinBrand,NumPeopleSleptUnderLlin,CreatedAt,UpdatedAt,SessionID,SessionFrontendID,SessionCollectorTitle,SessionCollectorName,SessionCollectionDate,SessionCollectionMethod,SessionSpecimenCondition,SessionNotes,SessionCreatedAt,SessionCompletedAt,SessionSubmittedAt,SessionUpdatedAt,SiteID,SiteDistrict,SiteSubCounty,SiteParish,SiteVillageName,SiteHouseNumber,SiteIsActive,SiteHealthCenter,ProgramID,ProgramName,ProgramCountry,DeviceID,DeviceModel,DeviceRegisteredAt,CollectionYear,CollectionMonth,CollectionYearMonth,CollectionQuarter,LlinUsageRate,DataQualityFlag
177,8,No,,0,Unknown,Unknown,,2025-11-26 23:33:33+00:00,2025-11-26 23:33:33+00:00,293.0,7b8922b3-d766-4858-83d6-b00b818f8402,Field Operations Team (FOT),johnny2,2025-11-26 23:28:12+00:00,CDC Light Trap (LTC),Fresh,,2025-11-26 23:28:12+00:00,2025-11-26 23:33:31+00:00,2025-11-26 23:33:32+00:00,2025-11-26 23:33:32+00:00,11.0,Other,,,Other,,True,,1.0,National Malaria Elimination Division,Uganda,57.0,motorola moto g play (2021),2025-11-26T23:15:37.000Z,2025.0,11.0,2025-11,4.0,0.0,OK
176,67,Yes,67.0,67,Pyrethroid + Chlorfenapyr,Interceptor G2,67.0,2025-11-26 23:20:23+00:00,2025-11-26 23:20:23+00:00,291.0,b3e65539-0c5d-4b32-8685-225a11d122bf,Village Health Team (VHT),johnny,2025-11-26 23:15:39+00:00,CDC Light Trap (LTC),Fresh,67,2025-11-26 23:15:39+00:00,2025-11-26 23:20:21+00:00,2025-11-26 23:20:23+00:00,2025-11-26 23:20:23+00:00,11.0,Other,,,Other,,True,,1.0,National Malaria Elimination Division,Uganda,57.0,motorola moto g play (2021),2025-11-26T23:15:37.000Z,2025.0,11.0,2025-11,4.0,100.0,Suspicious: Large household
175,0,No,,0,Unknown,Unknown,,2025-11-26 19:04:53+00:00,2025-11-26 19:04:53+00:00,,,,,,Unknown,Unknown,,,,,,,Unknown,,,,,,,,,Unknown,,,,,,,,0.0,OK
174,0,No,,0,Unknown,Unknown,,2025-11-26 18:59:43+00:00,2025-11-26 18:59:43+00:00,,,,,,Unknown,Unknown,,,,,,,Unknown,,,,,,,,,Unknown,,,,,,,,0.0,OK
173,0,No,,0,Unknown,Unknown,,2025-11-26 18:57:57+00:00,2025-11-26 18:57:57+00:00,,,,,,Unknown,Unknown,,,,,,,Unknown,,,,,,,,,Unknown,,,,,,,,0.0,OK
172,0,No,,0,Unknown,Unknown,,2025-11-26 15:22:40+00:00,2025-11-26 15:22:40+00:00,,,,,,Unknown,Unknown,,,,,,,Unknown,,,,,,,,,Unknown,,,,,,,,0.0,OK
171,2,No,,5,Pyrethroid + Chlorfenapyr,Interceptor G2,2.0,2025-11-26 06:31:27+00:00,2025-11-26 06:31:27+00:00,,,,,,Unknown,Unknown,,,,,,,Unknown,,,,,,,,,Unknown,,,,,,,,100.0,OK
170,0,No,,0,Unknown,Unknown,,2025-11-26 06:30:38+00:00,2025-11-26 06:30:38+00:00,,,,,,Unknown,Unknown,,,,,,,Unknown,,,,,,,,,Unknown,,,,,,,,0.0,OK
169,0,Yes,2.0,5,Pyrethroid + Pyriproxyfen,Royal Guard,1.0,2025-11-26 06:26:43+00:00,2025-11-26 06:26:43+00:00,,,,,,Unknown,Unknown,,,,,,,Unknown,,,,,,,,,Unknown,,,,,,,,inf,OK
168,0,Yes,2.0,1,Pyrethroid + Pyriproxyfen,Royal Guard,3.0,2025-11-26 06:15:26+00:00,2025-11-26 06:15:26+00:00,,,,,,Unknown,Unknown,,,,,,,Unknown,,,,,,,,,Unknown,,,,,,,,inf,Suspicious: More people than nets
167,0,No,,0,Unknown,Unknown,,2025-11-25 20:34:21+00:00,2025-11-25 20:34:21+00:00,,,,,,Unknown,Unknown,,,,,,,Unknown,,,,,,,,,Unknown,,,,,,,,0.0,OK
166,0,No,,0,Unknown,Unknown,,2025-11-25 20:30:57+00:00,2025-11-25 20:30:57+00:00,,,,,,Unknown,Unknown,,,,,,,Unknown,,,,,,,,,Unknown,,,,,,,,0.0,OK
165,0,No,,0,Unknown,Unknown,,2025-11-25 11:42:53+00:00,2025-11-25 11:42:53+00:00,,,,,,Unknown,Unknown,,,,,,,Unknown,,,,,,,,,Unknown,,,,,,,,0.0,OK
164,1,No,,2,Pyrethroid Only,OLYSET Net,0.0,2025-11-25 11:23:17+00:00,2025-11-25 11:23:17+00:00,,,,,,Unknown,Unknown,,,,,,,Unknown,,,,,,,,,Unknown,,,,,,,,0.0,OK
163,0,No,,0,Unknown,Unknown,,2025-10-02 18:32:46+00:00,2025-10-02 18:32:46+00:00,,,,,,Unknown,Unknown,,,,,,,Unknown,,,,,,,,,Unknown,,,,,,,,0.0,OK
162,2,Yes,2.0,2,Pyrethroid + Chlorfenapyr,Interceptor,2.0,2025-09-23 11:43:21+00:00,2025-09-23 11:43:21+00:00,276.0,b3a57719-62d4-40d0-8ab7-04073bb82ce2,nxnx,dnxn,2025-09-23 11:17:46+00:00,Pyrethrum Spray Catch (PSC),Fresh,"House Number: 01
House Number: 01",2025-09-23 11:17:46+00:00,2025-09-23 11:43:44+00:00,2025-09-23 11:43:21+00:00,2025-09-23 11:43:21+00:00,11.0,Other,,,Other,,True,,1.0,National Malaria Elimination Division,Uganda,23.0,motorola moto g play (2021),2025-08-10T10:06:46.000Z,2025.0,9.0,2025-09,3.0,100.0,OK
161,6,Yes,2.0,2,Pyrethroid + PBO,Interceptor,2.0,2025-09-23 09:54:35+00:00,2025-09-23 09:54:35+00:00,275.0,0a76ad2b-971d-4fa7-8bc6-0d49b21f3c90,vco,nails peter,2025-09-23 08:49:38+00:00,Human Landing Catch (HLC),Dessicated,"fetteg


House Number: 91",2025-09-23 08:49:38+00:00,2025-09-23 09:52:22+00:00,2025-09-23 09:54:34+00:00,2025-09-23 09:54:34+00:00,11.0,Other,,,Other,,True,,1.0,National Malaria Elimination Division,Uganda,49.0,motorola moto g play (2021),2025-09-10T10:32:07.000Z,2025.0,9.0,2025-09,3.0,33.33333333333333,OK
